,195,,,,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,Indicador 2,,,,,Indicador 1,,,,,Indicador 1,,,,,Indicador 1,,,,,Indicador 1,,,,HITO 1,,,HITO 2,,,HITO 3,,,HITO 4,,,HITO 5,,,HITO 6,,,HITO 7,,,HITO 8,,,HITO 9,,,Medio Verificación 1,,,,,,Medio_verificacion_2,,,,,Medio Verificación 3,,,,,Medio_verificacion_4,,,,,Medio_verificacion_5,,,,,Medio Verificación 6,,,,,,,Medio Verificación 7,,,,,,
Área,ID_Accion,Responsable,Título,Objetivo,Tipo, Presupuesto ,Acreditacion,Función 1,Nombre,Fórmula,Meta,Verificador asociado,Nombre,Fórmula,Meta,Verificador asociado,Función 2,Nombre,Fórmula,Meta,Verificador asociado,Nombre,Fórmula,Meta,Verificador asociado,Función 3,Nombre,Fórmula,Meta,Verificador asociado,Nombre,Fórmula,Meta,Verificador asociado,Función 4,Nombre,Fórmula,Meta,Verificador asociado,Función 5,Nombre,Fórmula,Meta,Verificador asociado,Función 6,Nombre,Fórmula,Meta,Verificador asociado,Función 7,Nombre,Fórmula,Meta,Verificador asociado,Nombre_X,Descripción_X,Plazo,Nombre_X,Descripción_X,Plazo,Nombre_X,Descripción_X,Plazo,Nombre_X,Descripción_X,Plazo,Nombre_X,Descripción_X,Plazo,Nombre_X,Descripción_X,Plazo,Nombre_X,Descripción_X,Plazo,Nombre_X,Descripción_X,Plazo,Nombre_X,Descripción_X,Plazo,Nombre,Criterio_1,Criterio _2,Criterio_3,Criterio_4,Criterio_5,Nombre,Criterio_1,Criterio _2,Criterio_3,Criterio_4,Nombre,Criterio_1,Criterio _2,Criterio_3,Criterio_4,Nombre,Criterio_1,Criterio _2,Criterio_3,Criterio_4,Nombre,Criterio_1,Criterio _2,Criterio_3,Criterio_4,Nombre,Criterio_1,Criterio _2,Criterio_3,Criterio_4,Criterio_5,Criterio_6,Nombre,Criterio_1,Criterio _2,Criterio_3,Criterio_4,Criterio_5,Criterio_6
CU,CU-1,LCJ,"Ejecutar actividades de capacitación en materia de procesos disciplinarios y derechos, y obligaciones funcionarias.","Generar conocimientos en funcionarios (as) de la Universidad de Aysén en materia de procesos disciplinarios y derechos, y obligaciones funcionarias",Misional," $1,940,000 ",,Capacitar en materia de procesos disciplinarios a funcionarios (as) pertenecientes a los grados 2° al 12°. (Universo considerado al 31 marzo 2022),Número de funcionarios capacitados en relación a la materia,(Número de funcionarios capacitados/ Número total de funcionarios convocados a reuniones de capacitación desarrolladas la Contraloría Universitaria) * 100,50%,Correo electrónico de convocatoria a reuniones de capacitación,,,,,"Capacitar en materia de Derechos y deberes funcionarios, al personal de colaboración y académico de la Universidad Aysén. ",Número  de funcionarios capacitados en materia de derechos y deberes funcionarios,(Número funcionarios  (as) capacitados en materia de derechos y deberes funcionarios dentro del año 2022/ Número total de funcionarios)*100,50%,Correo electrónico de convocatoria a reuniones de capacitación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acta de capacitación realizada en materias de procesos disciplinarios,Acta de capacitación firmada por Contralora Universitaria y Secretaría General,dic-22,Acta de capacitación realizada en materias de Derechos y Deberes funcionarios,Acta de capacitación firmada por Contralora Universitaria y Secretaría General,dic-22,,,,,,,,,,,,,,,,,,,,,,Listados de asistencias o sesiones grabadas,(Indicar el propósito que tiene el medio de verificación y responde al objetivo de la acción),,,,,Correo de convocatoria,Correo citando a actividad a funcionarios que se encuentran dentro del universo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU,CU-2,LCJ,Contratación de plataforma de servicio de Información Jurídica,"Generar la contratación de servicios de plataforma de Información jurídica, a fin de asegurar el apoyo y fortalecimiento del trabajo jurídico de la Institución",Misional, $- ,,Gestionar la solicitud de contratación del servicio de plataforma jurídica para el periodo 2022.,Realizar la solicitud de contratación del servicio de plataforma jurídica.,No aplica,100%,Memorando de requerimiento de compra de servicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gestionar la contratación de plataforma de información jurídica para el apoyo y fortalecimiento del trabajo jurídico de la Institución para el periodo 2022,Memorando de requerimiento de compra de plataforma de información jurídica,ene-22,Adquisición del servicio de plataforma de información jurídica para el periodo 2022,Orden de compra,abr-22,,,,,,,,,,,,,,,,,,,,,,Memorando dirigido a la unidad de adquisiciones con requerimiento de contratación de plataforma jurídica en apoyo a la labor jurídica de la Universidad,Correo electrónico dirigido a DAF con Memorando de requerimiento de contratación de plataforma jurídica en apoyo a la labor jurídica de la Universidad,,,,,Adquisición de la plataforma jurídica por parte de la Institución ,Orden de compra emitida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU,CU-3,AUD,Ejecución Plan de Auditoría 2022,"Diseñar, planificar y ejecutar el plan de auditoría del año 2022, que permita detectar situaciones de mejora en el marco del quehacer Institucional.",Desarrollo," $4,500,000 ",,"Diseñar el Plan de Auditoría 2022, a fin de detectar oportunidades de mejora dentro de la Institución.",Plan de Auditoría 2022 aprobado por la Rectoría,No aplica,100%,Decreto Universitario que aprueba el plan de auditoría año 2022.,,,,,"Ejecutar el Plan de Auditoría 2022, de acuerdo a lo establecido en acto administrativo que lo aprueba.",Auditorías realizadas de acuerdo a lo establecido en el plan de auditoría 2022 aprobado mediante Decreto Universitario Exento.,(Auditorias ejecutadas en el año 2022/ Auditorías establecidas en el plan de auditoría 2022) * 100,70%,"Informes de auditoría emitidos en el año 2022 (Pre Informes, Informes Finales e Informes de Seguimiento)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aprobación del plan de auditoría 2022.,Decreto Universitario Exento que aprueba el plan de auditoría 2022,abr-22,Acta con resumen de informes de auditorías emitidos durante el año por Contraloría Universitaria.,"Pre Informes, informes finales e informes de seguimiento emitidos y firmados por Contralor (a) Universitario en el año 2022",dic-22,,,,,,,,,,,,,,,,,,,,,,Decreto que aprueba el plan de auditoría 2022,"Acto administrativo debe ser aprobado por la Rectoría, de acuerdo a lo establecido en los reglamentos.",Correo electrónico enviado a los directivos de la Universidad Aysén con el plan de auditoría 2022,,,,"Acta final con resumen de actividades ejecutadas durante el año, de acuerdo a lo establecido en el plan de auditoría para el año 2022.",Acta final emitido y firmado por la encargada de la Unidad de Auditoría,Correo electrónico enviado a Contralora Universitaria con acta final con resumen de actividades ejecutadas en el año 2022 por la Unidad de Auditoría.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU,CU-4,CU,Aseguramiento del proceso de gestión de riesgo en la Institución para el año 2022,Aseguramiento del proceso de gestión de riesgo en la Institución para el año 2022,Misional," $3,345,000 ",,"Convocar a la comisión de riesgos a sesiones durante el año 2022, a fin de documentar y facilitar la implementación del aseguramiento del proceso de gestión de riesgos",Sesiones de la comisión de riesgos realizadas durante el año 2022.,(Sesiones efectuadas por la comisión de riesgo/ sesiones planificadas durante el año 2022)*100,100%,Acta de sesiones emitidas por la Contraloría Universitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aprobación de la conformación de la comisión de riesgo Institucional,Decreto Universitario Exento que aprueba conformación de la comisión de riesgo,jun-22,Acta de sesión de instalación de la comisión de riesgo Institucional,El acta que levantará la Contralora Universitaria,oct-22,,,,,,,,,,,,,,,,,,,,,,Decreto Universitario Exento que aprueba la conformación de la Comisión de Riesgo Institucional,Acto administrativo debe ser aprobado por la Rectoría.,Correo electrónico de socialización a la comunidad Universitaria del Decreto Universitario Exento que aprueba la conformación de la Comisión de Riesgo,,,,Acta de sesiones de la comisión de riesgo realizadas en el año 2022,Acta de sesiones con los puntos tratados por la comisión de riesgo,Acta firmada por la Contralora Universitaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-10,BRA,Gestión de recursos de Aprendizaje / circulación para el desarrollo de la docencia ,Proveer y  mantener el servicio de préstamo de recursos de aprendizaje a las diferentes carreras de bibliografía incluida en programas de asignatura,Misional," $15,500,000 ",,Revisión de programas de asignaturas,Programas revisados,(Programas de asignaturas / programas revisados ) * 100,100%,Reporte de revisión de programas ,,,,,Gestión de Compra,Compras gestionadas ,compras gestionadas / compras realizadas  ) * 100,100%,reporte de compras realizadas ,,,,,Registro en sistema,Títulos catalogados,(Títulos adquiridos/títulos catalogados)*100,100%,Planilla de registro  de la catalogación de los textos adquiridos,,,,,Generación de estadísticas externas,Consultas,(Solicitudes resueltas/Solicitudes realizadas)*100,100%,Indicadores (tablas de resumen),Préstamo y devolución en software de Biblioteca,Registro de transacciones,(Transacciones realizadas en 2019/Transacciones realizadas en 2022)*100%,20%,Reporte de sistema de biblioteca (KOHA),Gestión de acceso a recursos electrónicos,Usuarios registrados,(Solicitudes de registros/usuarios registrados)*100,100%, Reporte plataformas suscritas,Generación de estadísticas externas,Consultas,(Solicitudes resueltas/Solicitudes realizadas)*100,100%,Indicadores (tablas de resumen),Registradas las transacciones de préstamo,Se registran a través del software de biblioteca todos los préstamos de recursos de aprendizaje,dic-22,Suscritas plataformas de recursos de aprendizaje,Plataformas de recursos de aprendizajes suscritas y/o renovadas ,ene-22,,,,,,,,,,,,,,,,,,,,,,Planilla Matriz Bibliográfica ,Debe contener un registro de bibliografía contenida en el programa de asignaturas,Incorpora Registro de existencias en biblioteca,Debe contener un Seguimiento de las nuevas adquisiciones,Debe contener Porcentaje de cobertura bibliográfica obligatoria,Incluye Porcentaje de cobertura bibliográfica sugerida,Reportes enviados a los diferentes solicitantes,Debe contener los datos de todas las consultas solicitadas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-11,EPRE,Gestión antecedentes académicos y socio demográfico de los estudiantes ,"Sistematizar, gestionar y usar información con el propósito de apoyar los procesos de acompañamiento de los estudiantes y tener antecedentes relevantes para su proceso formativo.",Misional," $3,300,000 ",,Sistematizar  la aplicación de los instrumentos  de levantamiento de antecedentes académicos y sociodemográficos de los estudiantes ,Análisis  de los antecedentes académicos y sociodemográficos de los estudiantes ,(Número de instrumentos aplicados/Número total de instrumentos) x 100,100%,Planilla con los resultados sistematizados ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementado el Sistema de Alerta Temprana,Revisado y aplicado el Sistema de Alerta Temprana (SAT).,may-22,Aplicada la Encuesta ENCE,"Elaborada, aplicada y analizada la encuesta ENCE.",dic-22,Aplicado y analizado el Perfil de Autorregulación Académica,Perfil de Autorregulación Académica,sep-22,Aplicada la Encuesta de caracterización (de todas las cohortes),Encuesta generada desde AI para los estudiantes nuevos y de cohortes anteriores ,mar-22,gestionado el Informe de asignaturas críticas 1° y 2° semestre ,Informe de asignaturas críticas 1 y 2 semestre ,ago-22,Aplicados los Test diagnósticos (estudiantes primer año),Aplicado y analizado diagnósticos institucionales,may-22,,,,,,,,,,Informe de Sistema de Alerta Temprana (SAT) basado en la recopilación de antecedentes académicos y socio demográficos. ,Presenta metodología utilizada en la elaboración del Sistema,Presenta datos analizados listando estudiantes según tipo de alerta (académica y social),,,,Reporte resultados ENCE,Presenta características generales del instrumento y la muestra utilizada,Presenta resultados por dimensión de la encuesta,,,Informe Perfil Autorregulación Académica,Presenta características generales del instrumento y la muestra utilizada,Presenta resultados por factor e ítem del instrumento,Genera informes por carrera e individualizado por estudiante,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,DAC-12,EPRE,Gestión y soporte de acompañamiento para el desempeño académico de lo/as estudiantes  y desarrollo de competencias para la vida profesional y la investigación,"Implementar estrategias que permitan evaluar, priorizar y acompañar al estudiantado en su proceso formativo",Misional," $4,900,000 ",,Generar listados de estudiantes en alerta académica ,Seguimiento de situación académica de los estudiantes en alerta académica ,Número de reportes institucionales de desempeño académico,4,Reportes institucionales de desempeño académico,,,,,Implementar estrategias de acompañamiento académico/psicoeducativo para el estudiantado,Informe de resultados de la implementación de estrategias de acompañamiento académico/psicoeducativo,Número de Informes de resultados de la implementación de estrategias de acompañamiento académico/psicoeducativo,2,Informe semestral de resultados de estrategias de acompañamiento ,,,,,Gestionar derivaciones de estudiantes para acompañamiento académico/psicoeducativo,Porcentaje de derivación de estudiantes,Número de derivaciones sobre las cuales se han efectuado acciones y/o estrategias por parte del Equipo / Número total de derivaciones recibidas.,85%,Fichas de derivación,,,,,Talleres de competencia para la vida laboral ,Implementar estrategias de acompañamiento para desarrollo de competencias para la vida profesional y la investigación,(Número de talleres planificados/Número de talleres implementados )*100,100%,reporte de talleres ,Talleres de competencias informacionales,Talleres de competencias informacionales definidos y  realizados,(Talleres solicitados/Talleres realizados)*100,100%,Reporte de talleres,Aplicación de encuestas ,Aplicación de encuestas según taller realizado,(Encuestas enviadas/Encuestas llenadas)*100,70%,Reporte de encuestas,,,,,,Realizada inducción para estudiantes de 1º año,"Diseñada, implementada y evaluada la inducción de estudiantes de primer año",may-22,Implementadas estrategias de acompañamiento académico/psicoeducativo,Evaluado el resultado de las estrategias de acompañamiento académico/psicoeducativo del estudiantado durante el 1er semestre,sep-22,Implementadas Estrategias de acompañamiento académico/psicoeducativo,Evaluado el resultado de las estrategias de acompañamiento académico/psicoeducativo del estudiantado durante el 2do semestre,dic-22,Realizados Talleres de preparación para el egreso e inserción a la vida laboral,"Planificación, implementación, seguimiento y evaluación de talleres orientados a la preparación para el egreso e inserción a la vida laboral",dic-22,Gestionados los  talleres de competencias informacionales y difusión,proveer una serie de contenidos asociados a las competencias informacionales,ene-22,creado y publicado el material de difusión ,Se solicita la creación de material y se programa la difusión a través de las plataformas institucionales,mar-22,,,,,,,,,,Informe de Inducción por carrera (incluye informe desagregado de resultados de estudiantes PACE),Presenta cobertura y resultados de diagnósticos y nivelación institucionales,"Da cuenta de actividades planificadas para la semana de inducción, incluyendo participación de lo/as estudiantes, como también resultados de encuesta de satisfacción","Considera observaciones y/o sugerencias por parte de los equipos/unidades participantes en semana de inducción que den cuenta de aspectos relevantes a considerar por jefaturas de carrera, Escuela de Pregrado y otras unidades dentro de la Dirección Académica",,,Reporte resultados Talleres de egreso,Debe incluir planificación de actividades realizadas,Considera cobertura y satisfacción de los estudiantes participantes,,,Implementar estrategias de acompañamiento académico/psicoeducativo para el estudiantado,Facilitadores,Tutorías par,Talleres de Competencias Genéricas,Apoyo psicoeducativo individual,Registro de campañas de difusión,Incorporar todas las campañas de difusión de actividades de biblioteca ,incorporar actividad de red CABID ,,,informe de talleres de competencias informacionales y de difusión ,estadísticas,asistencia ,resultados de encuestas ,,,,,,,,,,,,,,,
DAC,DAC-13,EPRE,Programación de docencia 2022,Levantar los insumos necesarios para el desarrollo de la docencia anual y de las actividades académicas relacionadas.,Misional," $6,240,000 ",,Realizar inducciones de docencia para inicio de semestre académico.,Inducciones  realizadas,Número inducciones,2,Informe o acta de las inducciones,,,,,Planificar programación académica semestral,Cursos programados,(Número cursos programados / Número de cursos planificados),100%,,,,,,Implementar 4 niveles de inglés general,Niveles creados,Cursos de inglés creados,4,,,,,,,,,,,,,,,,,,,,,,,,,,Calendario Académico,Diseñado y formalizado el calendario académico 2021.,mar-22,Orientaciones docencia,Elaboradas y difundidas orientaciones para la implementación de la docencia en los semestres 1 y 2,mar-22,Generada programación de cursos primer semestre,Programación oferta formativa  primer semestre,mar-22,Generada programación de cursos segundo semestre,Programación oferta formativa  segundo semestre,jul-22,Generada programación formación transversal primer semestre,Programación de oferta formativa de formación transversal primer semestre,mar-22,Generada programación formación transversal segundo semestre,Programación de oferta formativa de formación transversal segundo semestre,jul-22,,,,,,,,,,Decreto Calendario Académico,Organizado según estamentos y fechas claves para cada uno.,Visado por Director  DAC,,,,"Documentos de trabajo para implementación de planes de estudio, para primer y segundo semestre.",Según formatos y estándares DAC.,Deben entregar orientaciones generales para la realización de la docencia semestral en función a los aspectos clave del Modelo Educativo.,Debe entregar orientaciones para la construcción de los programas de curso.,,Actas de inducción,"Considera referencia a asistentes, temáticas tratadas y otros elementos que sean pertinentes.",Acompañar materiales facilitados.,,,Planificación horaria de cursos,"Debe indicar horarios, salas, docentes y otros elementos pertinentes para la operacionalización del semestre académico.","En formato apropiado para su difusión (planilla, pdf, etc.) según estándares DAC, y según público objetivo (estudiantes y docentes)",,,Informe de diagnóstico sobre iniciativas de formación transversal,Antecedentes referentes a actividades docentes de formación transversal,,,,Documentos de trabajo para la implementación de formación transversal,,,,,,,,,,,,,
DAC,DAC-14,EPRE,Aseguramiento de la implementación del Modelo Educativo  a través de los planes de estudio de pregrado,"Implementar mecanismos  que regulen el monitoreo, evaluación y ajustes de mejora a la implementación del Modelo Educativo a través de los planes de estudio de pregrado",Misional," $1,000,000 ",SI," Apoyar la revisión, elaboración y gestión de programas de asignatura  en cada periodo académico",Convocatorias de apoyo al desarrollo de programas de asignatura,Número de convocatorias planificadas,2,Planificaciones de apoyo,,,,,"Evaluar implementación de la docencia, por parte de estudiantes",Cobertura encuesta docente,(Número estudiantes que responden  encuesta / Número total de estudiantes regulares ),75%,Informe aplicación encuesta docente,,,,,"Apoyar procesos de revisión, evaluación y diseño de ajustes en carreras de pregrado.",Porcentaje de cobertura de acompañamientos,(Número de acompañamiento  implementados / Número de procesos de revisión curricular iniciados),100%,Planes de trabajo programados,,,,,Realizar seguimiento y monitoreo del perfil de egreso,Carreras que implementa seguimiento y monitoreo de perfiles de egreso,Número de carreras que implementan mecanismo de seguimiento del perfil de egreso,8,Reportes de resultados de seguimiento,,,,,,,,,,,,,,,,Modelo integral de evaluación de la docencia,"Diseñado y validado modelo de evaluación docente, en coherencia al Modelo Educativo, que le de un alcance apropiado a las dimensiones que son necesarias de evaluar.",abr-22,Modelo de seguimiento Perfil de Egreso,Piloteado y evaluado Modelo seguimiento al logro del perfil de egreso (U.planner y perfiles intermedios),oct-22,Monitoreo  a prácticas profesionales.,Diseñados y piloteados  mecanismos de monitoreo  a prácticas profesionales.,oct-22,"Articulación docencia, investigación y vinculación con el medio","Diseñados y piloteados  mecanismos que evalúen la articulación entre docencia, VcM e investigación",dic-22,Mecanismos de Evaluación curricular,Diseñados y formalizados mecanismos que  guíen los procesos de evaluación y modificación curricular.,may-22,Seguimiento y evaluación del Modelo Educativo,"Diseñar, validar e implementar un proceso de evaluación del Modelo Educativo",nov-22,,,,,,,,,,Plan de evaluación del Modelo Educativo,Según estándares a definir por Dirección Académica,Incluye criterios y mecanismos de evaluación del Modelo Educativo,"Establece principales dimensiones para evaluar, modalidades para levantamiento de información y actores relevantes que deben participar",,,Modelo de evaluación de la docencia,Según normas y estándares a definir por DAC,"Documento detallado que propone y detalla dimensiones necesarias de evaluación para el cuerpo docente, considerando variables académicas, pedagógicas, éticas y otras pertinentes al Modelo Educativo.","Propuesta debe establecer puntos de mejora abordados, estrategias de implementación de la evaluación y sugerencias de mecanismos necesarios  a desarrollar.",Propuesta debe considerar integralmente aspectos de evaluación de la calificación académica y lo señalado en el Reglamento General Académico.,Modelo de Seguimiento de planes de estudio,Según normas y estándares a definir por DAC,Identifica dimensiones relevantes para la evaluación,Propone estrategias mínimas y estándares para  monitorear y evaluar los  planes de estudio y el logro progresivo del perfil de egreso,Propone mecanismos para abordar e integrar en el currículum el monitoreo y la evaluación.,Mecanismos para monitorear  realización de prácticas,Según estándares a definir por  DAC,Propone estrategias mínimas y estándares para  monitorear prácticas.,,,Informe pilotaje articulación de docencia con investigación y vinculación con el medio,"Identifica principales acciones de articulación, así como resultados más relevantes",Identifica desafíos de la articulación,,,"Informe con resultados de evaluación de la docencia por parte de estudiantes, en periodos 2022-1 y 2022-2 ",Según estándares a definir por DAC,Analiza  principales fortalezas y debilidades en la implementación de la docencia,Establece sugerencia de acción para mejora en docencia,Informe general y por carrera.,,,,,,,,,
