Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49
;0;;Responsable;;Aprobador;;Soporte 1;;Soporte 2;;Soporte 3;;Soporte 4;;Soporte 5;;Soporte 6;;Soporte 7;;Soporte 8;;Soporte 9;;Soporte 10;;Soporte 11;;Consultado 1;;Consultado 2;;Consultado 3;;Consultado 4;;Consultado 5;;Informado 1;;Informado 2;;Informado 3;;Informado 4;;Informado 5;
N;ID_Accion;URY;Lider_Estrategico;Lider_Ejecutivo;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor;Dependencia;Actor
1;URY-RED21996;;REC;EG;;REC;EG;TODOS;ESTR;DVCM;COM;DPAC;TGI;REC;REC;;;DPAC;PCI;DAF;FIN;DAF;DP;DAF;ADQ;;;DPAC;AC;TODOS;GA;;;DPAC;AI;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;
2;PMI-2;;REC;GAB;;SG;JUR;DVCM;COM;DPAC;PCI;;;;;;;;;;;;;;;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;
3;TRANSVERSAL-6;;REC;REC;;DAC;EPRE;DAC;DE;REC;EG;DPAC;PCI;TODOS;GA;TODOS;ESTR;TODOS;TAC;;;;;;;;;TODOS;ESTR;TODOS;GA;;;;;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;
4;TRANSVERSAL-7;;REC;EG;;TODOS;ESTR;TODOS;GA;TODOS;TAC;;;;;;;;;;;;;;;;;TODOS;ESTR;TODOS;GA;;;;;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;
5;URY-1995;;DVCM;TE;;DVCM;TE;DVCM;COM;TODOS;ESTR;TODOS;GA;DAC;EPRE;DPAC;TGI;DPAC;PCI;DAF;FIN;DAF;DP;DAF;ADQ;;;REC;REC;TODOS;ESTR;TODOS;GA;DPAC;AI;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;
6;URY-2095;;DVCM;TE;;DVCM;TE;DVCM;COM;DAC;DAC;TODOS;GA;DPAC;TGI;TODOS;ESTR;DPAC;PCI;DAF;FIN;DAF;DP;DAF;ADQ;REC;RI;REC;REC;TODOS;ESTR;TODOS;GA;DPAC;AI;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;
7;URY-20993;;DVCM;DI;;DI;DINV;DI;ITT;DAC;EPYFC;DVCM;TE;DVCM;COM;DPAC;TGI;DPAC;PCI;DAF;FIN;DAF;DP;DAF;ADQ;TODOS;GA;REC;REC;TODOS;ESTR;TODOS;GA;DPAC;AI;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;
8;URY-2193;;DVCM;EXT;;DVCM;EXT;DVCM;TE;DVCM;COM;DAC;EPRE;TODOS;GA;DAC;DE;DPAC;PCI;DAF;FIN;DAF;DP;DAF;ADQ;DPAC;TGI;TODOS;GA;;;;;DPAC;AI;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;
9;URY-RED21991;;DVCM;DVCM;;DVCM;DVCM;DVCM;COM;TODOS;ESTR;DPAC;TGI;;;;;DPAC;PCI;DAF;FIN;DAF;DP;DAF;ADQ;;;REC;REC;TODOS;GA;TODOS;ESTR;DPAC;AI;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;
10;PMI-1;;DVCM;COM;;SG;JUR;DPAC;AI;DAF;DP;DPAC;PCI;;;;;;;;;;;;;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;TODOS;COL;TODOS;ESTR;TODOS;GA;;;;;
