,Responsable,,Aprobador,,Soporte 1,,Soporte 2,,Soporte 3,,Soporte 4,,Soporte 5,,Soporte 6,,Consultado 1,,Consultado 2,,Consultado 3,,Consultado 4,,Consultado 5,,Consultado 6,,Consultado 7,,Consultado 8,,Informado 1,,Informado 2,,Informado 3,,Informado 4,,Informado 5,,Informado 6,,,,
ID_Accion,Lider_Estrategico,Lider_Ejecutivo,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,,,
REC-2,REC,RI,REC,REC,DPAC,PCI,DPAC,TGI,DVCM,COM,DAF,DP,DAF,INSG,DAC,EPRE,TODOS,ESTR,DPAC,AC,TODOS,GA,,,,,,,,,DPAC,AI,TODOS,ESTR,TODOS,GA,TODOS,TAC,,,,,,,,,
REC-3,REC,EG,REC,REC,DVCM,COM,DVCM,EXT,DAF,ADQ,,,,,,,DPAC,AC,TODOS,ESTR,TODOS,OP,TODOS,GA,,,DPAC,TGI,,,DPAC,AI,TODOS,ESTR,TODOS,COL,TODOS,GA,TODOS,OP,TODOS,TAC,,,,,
REC-4,REC,EG,REC,EG,DAF,ADQ,CU,CU,SG,JUR,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
REC-5,REC,INC,COLEGIADO,SEN,REC,EG,DPAC,PCI,DPAC,AC,DAF,DP,DVCM,COM,DPAC,AI,TODOS,ESTR,TODOS,GA,,,,,,,,,,,,,TODOS,COL,TODOS,GA,TODOS,ESTR,TODOS,OP,TODOS,TAC,,,,,
REC-6,REC,INC,REC,INC,REC,EG,DVCM,COM,,,,,,,,,TODOS,ESTR,TODOS,GA,,,,,,,,,,,,,TODOS,COL,TODOS,GA,TODOS,ESTR,TODOS,OP,TODOS,TAC,,,,,
REC-7,REC,INC,REC,INC,REC,EG,DPAC,AC,DPAC,TGI,DAF,DP,DAF,INSG,DAF,FIN,TODOS,ESTR,TODOS,GA,,,,,,,,,,,,,TODOS,COL,TODOS,GA,TODOS,ESTR,TODOS,OP,TODOS,TAC,,,,,
SG-1,SG,OPGDT,SG,SG,SG,JUR,DAF,ADQ,DAF,INSG,,,,,,,TODOS,ESTR,TODOS,TAC,,,,,,,,,,,,,REC,GAB,TODOS,TAC,TODOS,ESTR,,,,,,,,,
SG-2,SG,JUR,SG,JUR,SG,OPGDT,DAF,ADQ,DAF,FIN,,,,,,,TODOS,TAC,,,,,,,,,,,,,,,TODOS,TAC,,,,,,,,,,,,,
SG-3,SG,JUR,SG,SG,REC,GAB,DAF,ADQ,DAF,INSG,,,,,,,TODOS,COL,COL,CS,TODOS,GA,TODOS,ESTR,,,,,,,,,TODOS,ESTR,TODOS,COL,TODOS,GA,TODOS,TAC,,,,,,,
SG-4,SG,JUR,SG,SG,REC,GAB,DAF,ADQ,DAF,INSG,,,,,,,TODOS,COL,COL,SEN,TODOS,GA,TODOS,ESTR,,,,,,,,,TODOS,ESTR,TODOS,COL,TODOS,GA,TODOS,TAC,,,,,,,
SG-5,SG,JUR,SG,JUR,REC,GAB,DVCM,EXT,CU,LCJ,DVCM,COM,,,,,TODOS,COL,TODOS,GA,TODOS,ESTR,TODOS,TAC,,,,,,,DPAC,AI,TODOS,ESTR,TODOS,COL,TODOS,GA,TODOS,TAC,TODOS,OP,,,,,
SG-6,SG,TG,SG,SG,DAC,SA,DVCM,COM,DAF,ADQ,DAF,FIN,,,,,TODOS,GAB,DAC,EPRE,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
SG-7,SG,SG,SG,SG,SG,JUR,DAF,INSG,DAF,ADQ,,,,,,,DAF,FIN,,,,,,,,,DPAC,TGI,,,,,TODOS,ESTR,TODOS,COL,TODOS,GA,TODOS,TAC,TODOS,OP,,,,,
DAF-1,DAF,DP,DAF,DAF,SG,JUR,TODOS,ESTR,,,,,,,,,TODOS,ESTR,TODOS,TAC,DPAC,PCI,,,,,,,,,,,TODOS,ESTR,TODOS,TAC,,,,,,,,,,,
DAF-2,DAF,DP,DAF,DP,DAF,FIN,,todos,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAF-3,DAF,DP,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAF-4,DAF,DP,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAF-5,DAF,ADQ,DAF,DAF,SG,JUR,REC,REC,CU,CU,,,,,,,,Todos,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,Todos,,,,,,,,,,,,,
